file_as_downloaded,cohort,accession,source_url,what_it_established,sha256
METADATA_PD.tsv.gz,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,"donor metadata; 18 annotated donors (8 Ctrl / 6 PD / 4 LBD); age, sex, PMI complete",63fbbca722ad2e3f2b72c63b12ffade4c0ecfe80139b8f583323d137d0fbf0b5
da_UMAP.tsv,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,10 DA subtypes; donors >=20 DA nuclei 8/5/4,af876ed8a061a40457e69734fb2df8bc6280a343c65ee7f719a27db9f466d552
mg_UMAP.tsv,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,12 microglial states incl. Macro_CD200R1; donors >=20 8/6/4,45f069c13841a8c514dabaf0f12eae9115d0c2ae8ac2917871a6fb41ecba1c52
astro_UMAP.tsv,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,S-6 comparator; all 18 donors >=100,5f0037d9a7ea30effda8a109b92e7c0a4f8c2f0a481f8d46ff5e883dc5e680b9
olig_UMAP.tsv,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,S-6 comparator; all 18 donors >=100,9cc550b16a10658ce8e82be7416092bf62a08a14dd0be57091b044b97ac15e56
opc_UMAP.tsv,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,S-6 comparator; all 18 donors >=20,33d0ebf4d2b61495d147c8d04eeeee8438705a65aef09e7e280b06aa8522422d
nonda_UMAP.tsv,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,S-6 primary comparator (same NURR-positive fraction as DA),b970e96dad481d7e2dc2591fd9325f04d25ab591ffa5084e5cd1ee498fdc5dd3
GSE157783_series_matrix.txt.gz,Smajic,GSE157783,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157783,"5 IPD / 6 Ctrl; age, sex, PMI complete",a31542bb3793d0af81a1b14f9303056c6034fdd5d87c70c35674e71dc16ccf9c
GSE157783_IPDCO_hg_midbrain_cell.tar.gz,Smajic,GSE157783,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157783,"nucleus-level cell_ontology + patient for 41,435 nuclei (C1); microglia >=109 per donor (C2)",b7a32584c9f10506ef46fc3dfc34a2c571b8a60627dc38de7b6398571c4f679c
GSE243639_series_matrix.txt.gz,Martirosyan,GSE243639,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243639,"15 PD / 14 Ctrl; age, sex, PMI, RIN complete",1b79db32cf8155384c269422896ef47e9772bfaec3d29bae69fd28c2b401607e
GSE243639_UMAP_coordinates.xlsx,Martirosyan,GSE243639,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243639,"nucleus-level labels for 83,484 nuclei; microglia counts identical to Supp Table 2 (C1)",2fcd06645d8b5e4a32ec4462310b5571df5b657ce1e29c651c19b493a63035f4
13024_2023_699_MOESM2_ESM.xlsx,Martirosyan,GSE243639,https://doi.org/10.1186/s13024-023-00699-0,per-donor counts: DA median 4 in PD; microglia all donors >=87,989626ac12618bd4dd9112e33dc5e1c070d69abda7cb20562e8779d0986d05eb
adi8287_Tables_S1_to_S9.xlsx,Wang,GSE184950,https://doi.org/10.1126/sciadv.adi8287,sequenced cohort 9 Ctrl / 6 PD / 17 PDD; Fig S10B TH% by cluster (excluded cohort),f8d0791c5135802e10b304f22e04f97a6a6eb458efc34a84780337270c68971b
AtlasOfSubstantiaNigraInPD_metadata_30-08-2022.xlsx,Wang,HCA 16cd6791,https://explore.data.humancellatlas.org/projects/16cd6791-2adb-4d0f-8222-0184dada6456,HCA donor metadata (excluded cohort),8563519cce81f70259cbefad1ee6b29bc7ca868a9bef711d1788e11b9a5b2849
GSE184950_add2.xlsx,Wang,GSE184950,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184950,GEO template; confirms no cluster annotations deposited,3e58b79d0bca898cea1ff74cfd8991a8b1b1004c59d182d1eb8785af69d4a916
Homo_matrix.mtx.gz,Kamath,SCP1768,https://singlecell.broadinstitute.org/single_cell/study/SCP1768,expression matrix; NOT downloaded or inspected before freeze,RECORD_AT_DOWNLOAD
genesets/membership.csv,-,msigdbr 26.1.1,generated by scripts/00_genesets.R,all gene sets used in the plan,see genesets/provenance.txt
