"gene","in_hallmark_alpha","in_hallmark_gamma","status"
"ISG15",TRUE,TRUE,"shared alpha+gamma"
"IFI6",FALSE,FALSE,"absent from Hallmark alpha"
"MX1",TRUE,TRUE,"shared alpha+gamma"
"MX2",FALSE,TRUE,"gamma-only"
"OAS1",TRUE,FALSE,"alpha-only"
"OAS2",FALSE,TRUE,"gamma-only"
"OAS3",FALSE,TRUE,"gamma-only"
"OASL",TRUE,TRUE,"shared alpha+gamma"
"IFIT1",FALSE,TRUE,"gamma-only"
"IFIT2",TRUE,TRUE,"shared alpha+gamma"
"IFIT3",TRUE,TRUE,"shared alpha+gamma"
"IFI44",TRUE,TRUE,"shared alpha+gamma"
"IFI44L",TRUE,TRUE,"shared alpha+gamma"
"BST2",TRUE,TRUE,"shared alpha+gamma"
"XAF1",FALSE,TRUE,"gamma-only"
"RSAD2",TRUE,TRUE,"shared alpha+gamma"
"IFITM3",TRUE,TRUE,"shared alpha+gamma"
"HERC5",FALSE,FALSE,"absent from Hallmark alpha"
"EIF2AK2",TRUE,TRUE,"shared alpha+gamma"
"SAMD9L",TRUE,TRUE,"shared alpha+gamma"
