"set","gene"
"AxisA_reception","IFNAR1"
"AxisA_reception","IFNAR2"
"AxisA_reception","IRF9"
"AxisA_reception","JAK1"
"AxisA_reception","STAT1"
"AxisA_reception","STAT2"
"AxisA_reception","TYK2"
"AxisA1_receptor_proximal","IFNAR1"
"AxisA1_receptor_proximal","IFNAR2"
"AxisA1_receptor_proximal","JAK1"
"AxisA1_receptor_proximal","TYK2"
"AxisA2_ISGF3","IRF9"
"AxisA2_ISGF3","STAT1"
"AxisA2_ISGF3","STAT2"
"AxisA3_STAT5","STAT5A"
"AxisA3_STAT5","STAT5B"
"AxisAgamma_typeII_receptor","IFNGR1"
"AxisAgamma_typeII_receptor","IFNGR2"
"AxisAgamma_typeII_receptor","JAK2"
"AxisB_hallmark_alpha","ADAR"
"AxisB_hallmark_alpha","B2M"
"AxisB_hallmark_alpha","BATF2"
"AxisB_hallmark_alpha","BST2"
"AxisB_hallmark_alpha","C1S"
"AxisB_hallmark_alpha","CASP1"
"AxisB_hallmark_alpha","CASP8"
"AxisB_hallmark_alpha","CCRL2"
"AxisB_hallmark_alpha","CD47"
"AxisB_hallmark_alpha","CD74"
"AxisB_hallmark_alpha","CMPK2"
"AxisB_hallmark_alpha","CMTR1"
"AxisB_hallmark_alpha","CNP"
"AxisB_hallmark_alpha","CSF1"
"AxisB_hallmark_alpha","CXCL10"
"AxisB_hallmark_alpha","CXCL11"
"AxisB_hallmark_alpha","DDX60"
"AxisB_hallmark_alpha","DHX58"
"AxisB_hallmark_alpha","EIF2AK2"
"AxisB_hallmark_alpha","ELF1"
"AxisB_hallmark_alpha","EPSTI1"
"AxisB_hallmark_alpha","GBP2"
"AxisB_hallmark_alpha","GBP4"
"AxisB_hallmark_alpha","GMPR"
"AxisB_hallmark_alpha","HELZ2"
"AxisB_hallmark_alpha","HERC6"
"AxisB_hallmark_alpha","HLA-C"
"AxisB_hallmark_alpha","IFI27"
"AxisB_hallmark_alpha","IFI30"
"AxisB_hallmark_alpha","IFI35"
"AxisB_hallmark_alpha","IFI44"
"AxisB_hallmark_alpha","IFI44L"
"AxisB_hallmark_alpha","IFIH1"
"AxisB_hallmark_alpha","IFIT2"
"AxisB_hallmark_alpha","IFIT3"
"AxisB_hallmark_alpha","IFITM1"
"AxisB_hallmark_alpha","IFITM2"
"AxisB_hallmark_alpha","IFITM3"
"AxisB_hallmark_alpha","IL15"
"AxisB_hallmark_alpha","IL4R"
"AxisB_hallmark_alpha","IL7"
"AxisB_hallmark_alpha","IRF1"
"AxisB_hallmark_alpha","IRF2"
"AxisB_hallmark_alpha","IRF7"
"AxisB_hallmark_alpha","IRF9"
"AxisB_hallmark_alpha","ISG15"
"AxisB_hallmark_alpha","ISG20"
"AxisB_hallmark_alpha","LAMP3"
"AxisB_hallmark_alpha","LAP3"
"AxisB_hallmark_alpha","LGALS3BP"
"AxisB_hallmark_alpha","LPAR6"
"AxisB_hallmark_alpha","LY6E"
"AxisB_hallmark_alpha","MOV10"
"AxisB_hallmark_alpha","MVB12A"
"AxisB_hallmark_alpha","MX1"
"AxisB_hallmark_alpha","NCOA7"
"AxisB_hallmark_alpha","NMI"
"AxisB_hallmark_alpha","NUB1"
"AxisB_hallmark_alpha","OAS1"
"AxisB_hallmark_alpha","OASL"
"AxisB_hallmark_alpha","OGFR"
"AxisB_hallmark_alpha","PARP12"
"AxisB_hallmark_alpha","PARP14"
"AxisB_hallmark_alpha","PARP9"
"AxisB_hallmark_alpha","PLSCR1"
"AxisB_hallmark_alpha","PNPT1"
"AxisB_hallmark_alpha","PROCR"
"AxisB_hallmark_alpha","PSMA3"
"AxisB_hallmark_alpha","PSMB8"
"AxisB_hallmark_alpha","PSMB9"
"AxisB_hallmark_alpha","PSME1"
"AxisB_hallmark_alpha","PSME2"
"AxisB_hallmark_alpha","RIPK2"
"AxisB_hallmark_alpha","RNF31"
"AxisB_hallmark_alpha","RSAD2"
"AxisB_hallmark_alpha","RTP4"
"AxisB_hallmark_alpha","SAMD9"
"AxisB_hallmark_alpha","SAMD9L"
"AxisB_hallmark_alpha","SELL"
"AxisB_hallmark_alpha","SLC25A28"
"AxisB_hallmark_alpha","SP110"
"AxisB_hallmark_alpha","STAT2"
"AxisB_hallmark_alpha","TAP1"
"AxisB_hallmark_alpha","TDRD7"
"AxisB_hallmark_alpha","TENT5A"
"AxisB_hallmark_alpha","TMEM140"
"AxisB_hallmark_alpha","TRAFD1"
"AxisB_hallmark_alpha","TRIM14"
"AxisB_hallmark_alpha","TRIM21"
"AxisB_hallmark_alpha","TRIM25"
"AxisB_hallmark_alpha","TRIM26"
"AxisB_hallmark_alpha","TRIM5"
"AxisB_hallmark_alpha","TXNIP"
"AxisB_hallmark_alpha","UBA7"
"AxisB_hallmark_alpha","UBE2L6"
"AxisB_hallmark_alpha","USP18"
"AxisB_hallmark_alpha","WARS1"
"AxisB_reactome_sens","ABCE1"
"AxisB_reactome_sens","ADAR"
"AxisB_reactome_sens","BST2"
"AxisB_reactome_sens","EGR1"
"AxisB_reactome_sens","EIF2AK2"
"AxisB_reactome_sens","GBP2"
"AxisB_reactome_sens","HLA-A"
"AxisB_reactome_sens","HLA-B"
"AxisB_reactome_sens","HLA-C"
"AxisB_reactome_sens","HLA-E"
"AxisB_reactome_sens","HLA-F"
"AxisB_reactome_sens","HLA-G"
"AxisB_reactome_sens","HLA-H"
"AxisB_reactome_sens","IFI27"
"AxisB_reactome_sens","IFI35"
"AxisB_reactome_sens","IFI6"
"AxisB_reactome_sens","IFIT1"
"AxisB_reactome_sens","IFIT2"
